treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "TUT_Chest_Potions"
CanMerge 1
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Barbarian",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Bard",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Cleric",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Druid",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Fighter",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Monk",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Paladin",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Ranger",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Rogue",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Sorcerer",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Warlock",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_LOOT_GEN_Backpack_Wizard",1,0,0,0,0,0,0,0
new treasuretable "SHARRAN_Barbarian"
new subtable "1,1"
object category "I_ARM_Barbarian_Sharran",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Gloves_Leather_Sharran",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Helmet_Leather_Sharran",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Shoes_Barbarian_Sharran",1,0,0,0,0,0,0,0
new treasuretable "SHARRAN_Bard"
new subtable "1,1"
object category "I_ARM_Bard_Sharran",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Gloves_Cloth_Sharran",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Hat_Cloth_Sharran",1,0,0,0,0,0,0,0
new subtable "1,1"
